,Browser,OS,after,after_text,age,assess,before,before_text,comments,education,enjoyment,fairprice,gender,hasty_subject,how_did_it_go,in_between,is_valid,language,n_symptoms,negated_response,parse_error,parser_feedback,positive_response,problems,prompt,query_type,response,rt,screenH,screenW,secondary_response,secondary_response_type,session_index,start,time,time_in_minutes,trial_level,variable,workerid
16,,,.,.,,,"<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_nR'>{{}}</span>.<br/></span>Because <span class='variable_word positive_nR'>{{}}</span>, ","Jordan does not have lung cancer.Jordan didnt smoke.Because Jordan didnt smoke, ",,,,,,,,NA,True,,NA,Doesnt  have lung cancer,False,,Doesnt not have lung cancer,,NA,text,doesnt not have lung cancer,5.995,,,NA,NA,,1521040444247,1521040561029,,2,nRpR,0
17,,,.,.,,,"<span class='history'><span class='variable_word negated_pC'>{{}}</span>.<br/></span>Because <span class='variable_word negated_pC'>{{}}</span>, ","Because Ash did not have an illness.Because Because Ash did not have an illness, ",,,,,,,,NA,True,,NA,Hes isn't healthy,False,,Hes is healthy,,NA,text,hes is healthy,8.278,,,NA,NA,,1521040444247,1521040569701,,2,pCnR,0
0,,,.,.,,,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Tracy has an illness. He has ,,,,,,,,NA,True,,NA,did not Diabetes,False,NA,Diabetes,,NA,text,diabetes,4.807,,,NA,NA,,1521030624263,1521030669214,,0,D,1
1,,,.,.,,,<span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span> because ,Eli has diabetes because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> wasn't born with gene sequences that code for diabetes.,False,,<span class='variable_word name'>{{}}</span> was born with gene sequences that code for diabetes.,,NA,text,he was born with gene sequences that code for diabetes.,28.038,,,NA,NA,,1521030624263,1521030697720,,1,pC,1
2,,,.,.,,,<span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span> because ,Eli has diabetes because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> wasn't born with gene sequences that code for diabetes.,False,,<span class='variable_word name'>{{}}</span> was born with gene sequences that code for diabetes.,,NA,text,he was born with gene sequences that code for diabetes.,28.04,,,NA,NA,,1521030624263,1521030697722,,1,pC,1
3,,,.,.,,,<span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span> because ,Sal does not have diabetes because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span>'s genes do  contain that same marker,False,,<span class='variable_word name'>{{}}</span>'s genes do not contain that same marker,,NA,text,his genes do not contain that same marker,10.292,,,NA,NA,,1521030624263,1521030708551,,1,nC,1
4,,,.,.,,,<span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span> because ,Sal does not have diabetes because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span>'s genes do  contain that same marker,False,,<span class='variable_word name'>{{}}</span>'s genes do not contain that same marker,,NA,text,his genes do not contain that same marker,10.293,,,NA,NA,,1521030624263,1521030708552,,1,nC,1
5,,,.,.,,,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_nC'>{{}}</span>.<br/></span><span class='variable_word negated_nC'>{{}}</span> because ,Chris has diabetes.Chris's genes do  contain that same marker.Chris's genes do  contain that same marker because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span>'s parents' genes do too,False,,<span class='variable_word name'>{{}}</span>'s parents' genes don't too,,NA,text,his parents' genes don't too,24.702,,,NA,NA,,1521030624263,1521030733760,,2,nCnC,1
6,,,.,.,,,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_nC'>{{}}</span>.<br/></span><span class='variable_word negated_nC'>{{}}</span> because ,Chris has diabetes.Chris's genes do  contain that same marker.Chris's genes do  contain that same marker because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span>'s parents' genes do too,False,,<span class='variable_word name'>{{}}</span>'s parents' genes don't too,,NA,text,his parents' genes don't too,24.7,,,NA,NA,,1521030624263,1521030733758,,2,nCnC,1
0,,,.,.,,,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Avery has an illness. He has ,,,,,,,,NA,True,,NA,The did not flu,False,NA,The flu,,NA,text,the flu,4.515,,,NA,NA,,1521034114459,1521034128717,,0,D,2
1,,,.,.,,,"Because <span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>, ","Because Sam has the flu, ",,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> did not have an illness,False,,<span class='variable_word name'>{{}}</span> has an illness,,NA,text,he has an illness,22.28,,,NA,NA,,1521034114459,1521034151401,,1,pR,2
0,,,.,.,,,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Tracy has an illness. She has ,,,,,,,,NA,True,,NA,The did not flu,False,NA,The flu,,NA,text,the flu,2.916,,,NA,NA,,1521036434704,1521036443213,,0,D,3
0,,,.,.,,,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Avery has an illness. She has ,,,,,,,,NA,True,,NA,The did not flu,False,NA,The flu,,NA,text,the flu,3.848,,,NA,NA,,1521030514002,1521030552430,,0,D,4
0,,,.,.,,,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Drew has an illness. He has ,,,,,,,,NA,True,,NA,Heart did not disease,False,NA,Heart disease,,NA,text,heart disease,2.008,,,NA,NA,,1521032587745,1521032631707,,0,D,5
1,,,.,.,,,<span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span> because ,Casey does not have heart disease because ,,,,,,,,NA,True,,NA,They did not have no illness,False,,They have no illness,,NA,text,they have no illness,20.715,,,NA,NA,,1521032587745,1521032652887,,1,nC,5
2,,,.,.,,,<span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span> because ,Jo has heart disease because ,,,,,,,,NA,True,,NA,They did not have an illness.,False,,They have an illness.,,NA,text,they have an illness.,10.01,,,NA,NA,,1521032587745,1521032663333,,1,pC,5
0,,,.,.,,,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Sal has an illness. He has ,,,,,,,,NA,True,,NA,The did not flu,False,NA,The flu,,NA,text,the flu,4.255,,,NA,NA,,1521033395824,1521033568864,,0,D,6
0,,,.,.,,,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Ash has an illness. She has ,,,,,,,,NA,True,,NA,did not Diabetes,False,NA,Diabetes,,NA,text,diabetes,25.155,,,NA,NA,,1521069019343,1521069106749,,0,D,7
1,,,.,.,,,"Because <span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>, ","Because Nat has diabetes, ",,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> did not have to take insulin,False,,<span class='variable_word name'>{{}}</span> has to take insulin,,NA,text,she has to take insulin,233.113,,,NA,NA,,1521069019343,1521069340022,,1,pR,7
2,,,.,.,,,"Because <span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>, ","Because Jo does not have diabetes, ",,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> does  have to take insulin,False,,<span class='variable_word name'>{{}}</span> does not have to take insulin,,NA,text,she does not have to take insulin,90.459,,,NA,NA,,1521069019343,1521069430644,,1,nR,7
3,,,.,.,,,<span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span> because ,Jordan has diabetes because ,,,,,,,,NA,True,,NA,There did not be a problem in the pancreas,False,,There is a problem in the pancreas,,NA,text,There is a problem in the pancreas,52.054,,,NA,NA,,1521069019343,1521069482867,,1,pC,7
4,,,.,.,,,<span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span> because ,Sal does not have diabetes because ,,,,,,,,NA,True,,NA,<span class='variable_word name'>{{}}</span> isn't lucky,False,,<span class='variable_word name'>{{}}</span> is lucky,,NA,text,she is lucky,67.697,,,NA,NA,,1521069019343,1521069550737,,1,nC,7
5,,,.,.,,,"<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_nR'>{{}}</span>.<br/></span>Because <span class='variable_word positive_nR'>{{}}</span>, ","Eli does not have diabetes.Eli does not have to take insulin.Because Eli does not have to take insulin, ",,,,,,,,NA,True,,NA,Eli did not have a better quality of life,False,,Eli had a better quality of life,,NA,text,Eli had a better quality of life,73.445,,,NA,NA,,1521069019343,1521069624359,,2,nRpR,7
6,,,.,.,,,<span class='history'><span class='variable_word positive_nR'>{{}}</span>.<br/></span><span class='variable_word positive_nR'>{{}}</span> because ,Robin does not have to take insulin.Robin does not have to take insulin because ,,,,,,,,NA,True,,NA,did not asdfasdfasdf,False,,Asdfasdfasdf,,NA,text,asdfasdfasdf,797.531,,,NA,NA,,1521069019343,1521070422057,,2,nRpC,7
7,,,.,.,,,<span class='history'><span class='variable_word negated_pR'>{{}}</span>.<br/></span><span class='variable_word negated_pR'>{{}}</span> because ,Chris did not have to take insulin.Chris did not have to take insulin because ,,,,,,,,NA,True,,NA,did not asdfasdfasdf,False,,Asdfasdfasdf,,NA,text,asdfasdfasdf,2.251,,,NA,NA,,1521069019343,1521070424473,,2,pRnC,7
8,,,.,.,,,"<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_pR'>{{}}</span>.<br/></span>Because <span class='variable_word positive_pR'>{{}}</span>, ","Pat has diabetes.Pat has to take insulin.Because Pat has to take insulin, ",,,,,,,,NA,True,,NA,did not asdfasdff,False,,Asdfasdff,,NA,text,asdfasdff,11.168,,,NA,NA,,1521069019343,1521070435820,,2,pRpR,7
9,,,.,.,,,"<span class='history'><span class='variable_word positive_nC'>{{}}</span>.<br/></span>Because <span class='variable_word positive_nC'>{{}}</span>, ","Tracy is lucky.Because Tracy is lucky, ",,,,,,,,NA,True,,NA,did not asdfasdff,False,,Asdfasdff,,NA,text,asdfasdff,1.241,,,NA,NA,,1521069019343,1521070437214,,2,nCpR,7
10,,,.,.,,,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_pC'>{{}}</span>.<br/></span><span class='variable_word positive_pC'>{{}}</span> because ,Alex has diabetes.There is a problem in the pancreas.There is a problem in the pancreas because ,,,,,,,,NA,True,,NA,did not asdfasdff,False,,Asdfasdff,,NA,text,asdfasdff,0.497,,,NA,NA,,1521069019343,1521070437858,,2,pCpC,7
11,,,.,.,,,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_nC'>{{}}</span>.<br/></span><span class='variable_word positive_nC'>{{}}</span> because ,Sam does not have diabetes.Sam is lucky.Sam is lucky because ,,,,,,,,NA,True,,NA,did not asdfasdff,False,,Asdfasdff,,NA,text,asdfasdff,0.495,,,NA,NA,,1521069019343,1521070438500,,2,nCpC,7
12,,,.,.,,,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_pC'>{{}}</span>.<br/></span><span class='variable_word negated_pC'>{{}}</span> because ,Jamie does not have diabetes.There did not be a problem in the pancreas.There did not be a problem in the pancreas because ,,,,,,,,NA,True,,NA,did not asdfasdff,False,,Asdfasdff,,NA,text,asdfasdff,0.488,,,NA,NA,,1521069019343,1521070439137,,2,pCnC,7
13,,,.,.,,,"<span class='history'><span class='variable_word negated_pC'>{{}}</span>.<br/></span>Because <span class='variable_word negated_pC'>{{}}</span>, ","There did not be a problem in the pancreas.Because There did not be a problem in the pancreas, ",,,,,,,,NA,True,,NA,did not asdfasdff,False,,Asdfasdff,,NA,text,asdfasdff,0.474,,,NA,NA,,1521069019343,1521070439759,,2,pCnR,7
14,,,.,.,,,"<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_pR'>{{}}</span>.<br/></span>Because <span class='variable_word negated_pR'>{{}}</span>, ","Madison does not have diabetes.Madison did not have to take insulin.Because Madison did not have to take insulin, ",,,,,,,,NA,True,,NA,did not asdfasdff,False,,Asdfasdff,,NA,text,asdfasdff,0.479,,,NA,NA,,1521069019343,1521070440393,,2,pRnR,7
15,,,.,.,,,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_nC'>{{}}</span>.<br/></span><span class='variable_word negated_nC'>{{}}</span> because ,Drew has diabetes.Drew isn't lucky.Drew isn't lucky because ,,,,,,,,NA,True,,NA,did not asdfasdff,False,,Asdfasdff,,NA,text,asdfasdff,0.404,,,NA,NA,,1521069019343,1521070440939,,2,nCnC,7
16,,,.,.,,,"<span class='history'><span class='variable_word negated_nR'>{{}}</span>.<br/></span>Because <span class='variable_word negated_nR'>{{}}</span>, ","Avery does  have to take insulin.Because Avery does  have to take insulin, ",,,,,,,,NA,True,,NA,did not asdfasdff,False,,Asdfasdff,,NA,text,asdfasdff,0.395,,,NA,NA,,1521069019343,1521070441487,,2,nRnR,7
0,Firefox,Mac,.,.,38,No,<span class='variable_word name'>{{}}</span> has an illness. <span class='variable_word HHe'>{{}}</span> has ,Tracy has an illness. He has ,,4,0,sure,Male,False,,NA,True,English,NA,Lung did not cancer,False,NA,Lung cancer,,NA,text,lung cancer,5.358,800.0,1280.0,NA,NA,0.0,1521040120260,1521040140574,3.8417666666666666,0,D,8
1,Firefox,Mac,.,.,38,No,"Because <span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>, ","Because Sam has lung cancer, ",,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> isn't ill,False,,<span class='variable_word name'>{{}}</span> is ill,,NA,text,he is ill,10.634,800.0,1280.0,NA,NA,0.0,1521040120260,1521040151850,3.8417666666666666,1,pR,8
2,Firefox,Mac,.,.,38,No,"Because <span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>, ","Because Ash does not have lung cancer, ",,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> is  ill,False,,<span class='variable_word name'>{{}}</span> is not ill,,NA,text,she is not ill,7.232,800.0,1280.0,NA,NA,0.0,1521040120260,1521040159662,3.8417666666666666,1,nR,8
3,Firefox,Mac,.,.,38,No,<span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span> because ,Alex does not have lung cancer because ,,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> is  ill,False,,<span class='variable_word name'>{{}}</span> is not ill,,NA,text,he is not ill,6.684,800.0,1280.0,NA,NA,0.0,1521040120260,1521040166920,3.8417666666666666,1,nC,8
4,Firefox,Mac,.,.,38,No,<span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span> because ,Nat has lung cancer because ,,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> isn't ill,False,,<span class='variable_word name'>{{}}</span> is ill,,NA,text,he is ill,5.954,800.0,1280.0,NA,NA,0.0,1521040120260,1521040173498,3.8417666666666666,1,pC,8
5,Firefox,Mac,.,.,38,No,"<span class='history'><span class='variable_word negated_pC'>{{}}</span>.<br/></span>Because <span class='variable_word negated_pC'>{{}}</span>, ","Jo isn't ill.Because Jo isn't ill, ",,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> does have lung cancer,False,,<span class='variable_word name'>{{}}</span> doesn't have lung cancer,,NA,text,she doesn't have lung cancer,12.692,800.0,1280.0,NA,NA,0.0,1521040120260,1521040186770,3.8417666666666666,2,pCnR,8
6,Firefox,Mac,.,.,38,No,"<span class='history'><span class='variable_word positive_nC'>{{}}</span>.<br/></span>Because <span class='variable_word positive_nC'>{{}}</span>, ","Eli is not ill.Because Eli is not ill, ",,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> does  have lung cancer,False,,<span class='variable_word name'>{{}}</span> does not have lung cancer,,NA,text,he does not have lung cancer,9.448,800.0,1280.0,NA,NA,0.0,1521040120260,1521040196810,3.8417666666666666,2,nCpR,8
7,Firefox,Mac,.,.,38,No,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_nC'>{{}}</span>.<br/></span><span class='variable_word positive_nC'>{{}}</span> because ,Jess does not have lung cancer.Jess is not ill.Jess is not ill because ,,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> does  have lung cancer,False,,<span class='variable_word name'>{{}}</span> does not have lung cancer,,NA,text,she does not have lung cancer,12.688,800.0,1280.0,NA,NA,0.0,1521040120260,1521040210096,3.8417666666666666,2,nCpC,8
8,Firefox,Mac,.,.,38,No,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_pC'>{{}}</span>.<br/></span><span class='variable_word positive_pC'>{{}}</span> because ,Casey has lung cancer.Casey is ill.Casey is ill because ,,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> did not have lung cancer,False,,<span class='variable_word name'>{{}}</span> has lung cancer,,NA,text,he has lung cancer,9.098,800.0,1280.0,NA,NA,0.0,1521040120260,1521040219760,3.8417666666666666,2,pCpC,8
9,Firefox,Mac,.,.,38,No,"<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_pR'>{{}}</span>.<br/></span>Because <span class='variable_word negated_pR'>{{}}</span>, ","Drew does not have lung cancer.Drew isn't ill.Because Drew isn't ill, ",,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> does have lung cancer,False,,<span class='variable_word name'>{{}}</span> doesn't have lung cancer,,NA,text,she doesn't have lung cancer,10.542,800.0,1280.0,NA,NA,0.0,1521040120260,1521040230896,3.8417666666666666,2,pRnR,8
10,Firefox,Mac,.,.,38,No,<span class='history'><span class='variable_word negated_pR'>{{}}</span>.<br/></span><span class='variable_word negated_pR'>{{}}</span> because ,Sal isn't ill.Sal isn't ill because ,,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> does have lung cancer,False,,<span class='variable_word name'>{{}}</span> doesn't have lung cancer,,NA,text,he doesn't have lung cancer,17.242,800.0,1280.0,NA,NA,0.0,1521040120260,1521040248718,3.8417666666666666,2,pRnC,8
11,Firefox,Mac,.,.,38,No,"<span class='history'><span class='variable_word negated_nR'>{{}}</span>.<br/></span>Because <span class='variable_word negated_nR'>{{}}</span>, ","Jamie is  ill.Because Jamie is  ill, ",,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> did not have lung cancer,False,,<span class='variable_word name'>{{}}</span> has lung cancer,,NA,text,she has lung cancer,9.936,800.0,1280.0,NA,NA,0.0,1521040120260,1521040259234,3.8417666666666666,2,nRnR,8
12,Firefox,Mac,.,.,38,No,<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_nC'>{{}}</span>.<br/></span><span class='variable_word negated_nC'>{{}}</span> because ,Robin has lung cancer.Robin is  ill.Robin is  ill because ,,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> did not have lung cancer,False,,<span class='variable_word name'>{{}}</span> has lung cancer,,NA,text,she has lung cancer,8.576,800.0,1280.0,NA,NA,0.0,1521040120260,1521040268776,3.8417666666666666,2,nCnC,8
13,Firefox,Mac,.,.,38,No,<span class='history'><span class='variable_word name'>{{}}</span> does not have <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word negated_pC'>{{}}</span>.<br/></span><span class='variable_word negated_pC'>{{}}</span> because ,Madison does not have lung cancer.Madison isn't ill.Madison isn't ill because ,,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> does have lung cancer,False,,<span class='variable_word name'>{{}}</span> doesn't have lung cancer,,NA,text,she doesn't have lung cancer,12.604,800.0,1280.0,NA,NA,0.0,1521040120260,1521040281978,3.8417666666666666,2,pCnC,8
14,Firefox,Mac,.,.,38,No,"<span class='history'><span class='variable_word name'>{{}}</span> has <span class='variable_word D'>{{}}</span>.<br/><span class='variable_word positive_pR'>{{}}</span>.<br/></span>Because <span class='variable_word positive_pR'>{{}}</span>, ","Jordan has lung cancer.Jordan is ill.Because Jordan is ill, ",,4,0,sure,Male,False,,NA,True,English,NA,<span class='variable_word name'>{{}}</span> did not have lung cancer,False,,<span class='variable_word name'>{{}}</span> has lung cancer,,NA,text,he has lung cancer,13.906,800.0,1280.0,NA,NA,0.0,1521040120260,1521040296454,3.8417666666666666,2,pRpR,8
